"Iteration","Deviance","SAE","True_Value","Model","Weight_Component1","Weight_Component2","Weight_Component3","Weight_Component4","N_Obs","Corr_Type","SNR_db"
1,128.738424504234,0.0499210963382227,0.1,"ElasticNet",0.0750394518308886,NA,NA,NA,200,"mixed",10
1,128.738424504234,0.0499210963382227,0.2,"ElasticNet",NA,0.207415857047479,NA,NA,200,"mixed",10
1,128.738424504234,0.0499210963382227,0.3,"ElasticNet",NA,NA,0.316785245637441,NA,200,"mixed",10
1,128.738424504234,0.0499210963382227,0.4,"ElasticNet",NA,NA,NA,0.400759445484191,200,"mixed",10
2,147.317069374281,0.136319210947646,0.1,"ElasticNet",0.163833046640835,NA,NA,NA,200,"mixed",10
2,147.317069374281,0.136319210947646,0.2,"ElasticNet",NA,0.163349778198632,NA,NA,200,"mixed",10
2,147.317069374281,0.136319210947646,0.3,"ElasticNet",NA,NA,0.304326558832988,NA,200,"mixed",10
2,147.317069374281,0.136319210947646,0.4,"ElasticNet",NA,NA,NA,0.368490616327545,200,"mixed",10
3,112.095278870975,0.05336353585252,0.1,"ElasticNet",0.109016891753754,NA,NA,NA,200,"mixed",10
3,112.095278870975,0.05336353585252,0.2,"ElasticNet",NA,0.217664876172506,NA,NA,200,"mixed",10
3,112.095278870975,0.05336353585252,0.3,"ElasticNet",NA,NA,0.280877430313376,NA,200,"mixed",10
3,112.095278870975,0.05336353585252,0.4,"ElasticNet",NA,NA,NA,0.392440801760364,200,"mixed",10
4,145.971145803483,0.0730780723361083,0.1,"ElasticNet",0.125444698112802,NA,NA,NA,200,"mixed",10
4,145.971145803483,0.0730780723361083,0.2,"ElasticNet",NA,0.169471924849803,NA,NA,200,"mixed",10
4,145.971145803483,0.0730780723361083,0.3,"ElasticNet",NA,NA,0.311094338055252,NA,200,"mixed",10
4,145.971145803483,0.0730780723361083,0.4,"ElasticNet",NA,NA,NA,0.393989038982143,200,"mixed",10
5,130.585446565365,0.122218431083875,0.1,"ElasticNet",0.154879980279469,NA,NA,NA,200,"mixed",10
5,130.585446565365,0.122218431083875,0.2,"ElasticNet",NA,0.175151685827723,NA,NA,200,"mixed",10
5,130.585446565365,0.122218431083875,0.3,"ElasticNet",NA,NA,0.306229235262468,NA,200,"mixed",10
5,130.585446565365,0.122218431083875,0.4,"ElasticNet",NA,NA,NA,0.36373909863034,200,"mixed",10
