"Iteration","Deviance","SAE","True_Value","Model","Weight_Component1","Weight_Component2","Weight_Component3","Weight_Component4","N_Obs","Corr_Type","SNR_db"
1,128.73705153993,0.0530585474854851,0.1,"Lasso_L1",0.0734707262572574,NA,NA,NA,200,"mixed",10
1,128.73705153993,0.0530585474854851,0.2,"Lasso_L1",NA,0.208431416415857,NA,NA,200,"mixed",10
1,128.73705153993,0.0530585474854851,0.3,"Lasso_L1",NA,NA,0.316977901261752,NA,200,"mixed",10
1,128.73705153993,0.0530585474854851,0.4,"Lasso_L1",NA,NA,NA,0.401119956065134,200,"mixed",10
2,147.248818546945,0.131138356442302,0.1,"Lasso_L1",0.160757066779096,NA,NA,NA,200,"mixed",10
2,147.248818546945,0.131138356442302,0.2,"Lasso_L1",NA,0.163363578673206,NA,NA,200,"mixed",10
2,147.248818546945,0.131138356442302,0.3,"Lasso_L1",NA,NA,0.304812111442055,NA,200,"mixed",10
2,147.248818546945,0.131138356442302,0.4,"Lasso_L1",NA,NA,NA,0.371067243105643,200,"mixed",10
3,112.134005979355,0.0456760970719505,0.1,"Lasso_L1",0.102469278788697,NA,NA,NA,200,"mixed",10
3,112.134005979355,0.0456760970719505,0.2,"Lasso_L1",NA,0.220368769747278,NA,NA,200,"mixed",10
3,112.134005979355,0.0456760970719505,0.3,"Lasso_L1",NA,NA,0.282749368391429,NA,200,"mixed",10
3,112.134005979355,0.0456760970719505,0.4,"Lasso_L1",NA,NA,NA,0.394412583072596,200,"mixed",10
4,146.226872217536,0.0678888914495697,0.1,"Lasso_L1",0.12416034266359,NA,NA,NA,200,"mixed",10
4,146.226872217536,0.0678888914495697,0.2,"Lasso_L1",NA,0.17204892615731,NA,NA,200,"mixed",10
4,146.226872217536,0.0678888914495697,0.3,"Lasso_L1",NA,NA,0.309784103061195,NA,200,"mixed",10
4,146.226872217536,0.0678888914495697,0.4,"Lasso_L1",NA,NA,NA,0.394006628117905,200,"mixed",10
5,134.186895178811,0.0917550015351552,0.1,"Lasso_L1",0.142143034182409,NA,NA,NA,200,"mixed",10
5,134.186895178811,0.0917550015351552,0.2,"Lasso_L1",NA,0.178356444188994,NA,NA,200,"mixed",10
5,134.186895178811,0.0917550015351552,0.3,"Lasso_L1",NA,NA,0.303734466585169,NA,200,"mixed",10
5,134.186895178811,0.0917550015351552,0.4,"Lasso_L1",NA,NA,NA,0.375766055043428,200,"mixed",10
