"Iteration","Deviance","SAE","True_Value","Model","Weight_Component1","Weight_Component2","Weight_Component3","Weight_Component4","N_Obs","Corr_Type","SNR_db"
1,62.7077587323192,0.0456367630887487,0.1,"NWQS",0.108013200056644,NA,NA,NA,200,"mixed",10
1,62.7077587323192,0.0456367630887487,0.2,"NWQS",NA,0.179316881913178,NA,NA,200,"mixed",10
1,62.7077587323192,0.0456367630887487,0.3,"NWQS",NA,NA,0.31480518148773,NA,200,"mixed",10
1,62.7077587323192,0.0456367630887487,0.4,"NWQS",NA,NA,NA,0.397864736542448,200,"mixed",10
2,66.9789518862811,0.0629298806629619,0.1,"NWQS",0.119992407697817,NA,NA,NA,200,"mixed",10
2,66.9789518862811,0.0629298806629619,0.2,"NWQS",NA,0.187935425164805,NA,NA,200,"mixed",10
2,66.9789518862811,0.0629298806629619,0.3,"NWQS",NA,NA,0.311472532633664,NA,200,"mixed",10
2,66.9789518862811,0.0629298806629619,0.4,"NWQS",NA,NA,NA,0.380599634503714,200,"mixed",10
3,50.7690252479577,0.0486079132906244,0.1,"NWQS",0.115267787262703,NA,NA,NA,200,"mixed",10
3,50.7690252479577,0.0486079132906244,0.2,"NWQS",NA,0.205950526474356,NA,NA,200,"mixed",10
3,50.7690252479577,0.0486079132906244,0.3,"NWQS",NA,NA,0.275696043354688,NA,200,"mixed",10
3,50.7690252479577,0.0486079132906244,0.4,"NWQS",NA,NA,NA,0.403085642908253,200,"mixed",10
4,65.8815931911046,0.0584161946143612,0.1,"NWQS",0.127482783487121,NA,NA,NA,200,"mixed",10
4,65.8815931911046,0.0584161946143612,0.2,"NWQS",NA,0.20172531382006,NA,NA,200,"mixed",10
4,65.8815931911046,0.0584161946143612,0.3,"NWQS",NA,NA,0.288197069373525,NA,200,"mixed",10
4,65.8815931911046,0.0584161946143612,0.4,"NWQS",NA,NA,NA,0.382594833319294,200,"mixed",10
5,57.6072181265529,0.0407397952462141,0.1,"NWQS",0.120369897623107,NA,NA,NA,200,"mixed",10
5,57.6072181265529,0.0407397952462141,0.2,"NWQS",NA,0.195954002800497,NA,NA,200,"mixed",10
5,57.6072181265529,0.0407397952462141,0.3,"NWQS",NA,NA,0.299054809900328,NA,200,"mixed",10
5,57.6072181265529,0.0407397952462141,0.4,"NWQS",NA,NA,NA,0.384621289676068,200,"mixed",10
