"Iteration","Deviance","SAE","True_Value","Model","Weight_Component1","Weight_Component2","Weight_Component3","Weight_Component4","N_Obs","Corr_Type","SNR_db"
1,761.025745095824,NA,0.1,"QGcomp_Spline",0.0425333250553145,NA,NA,NA,200,"mixed",10
1,761.025745095824,NA,0.2,"QGcomp_Spline",NA,0.0933432971937764,NA,NA,200,"mixed",10
1,761.025745095824,NA,0.3,"QGcomp_Spline",NA,NA,0.316942526350564,NA,200,"mixed",10
1,761.025745095824,NA,0.4,"QGcomp_Spline",NA,NA,NA,0.547180851400345,200,"mixed",10
2,837.86170698618,NA,0.1,"QGcomp_Spline",0.18315278674166,NA,NA,NA,200,"mixed",10
2,837.86170698618,NA,0.2,"QGcomp_Spline",NA,0.0278212563818431,NA,NA,200,"mixed",10
2,837.86170698618,NA,0.3,"QGcomp_Spline",NA,NA,0.304131433076189,NA,200,"mixed",10
2,837.86170698618,NA,0.4,"QGcomp_Spline",NA,NA,NA,0.484894523800308,200,"mixed",10
3,753.534017715428,NA,0.1,"QGcomp_Spline",0.0018485937410339,NA,NA,NA,200,"mixed",10
3,753.534017715428,NA,0.2,"QGcomp_Spline",NA,0.135259294502288,NA,NA,200,"mixed",10
3,753.534017715428,NA,0.3,"QGcomp_Spline",NA,NA,0.319210384851651,NA,200,"mixed",10
3,753.534017715428,NA,0.4,"QGcomp_Spline",NA,NA,NA,0.543681726905027,200,"mixed",10
4,886.75854996088,NA,0.1,"QGcomp_Spline",0.0496673663246665,NA,NA,NA,200,"mixed",10
4,886.75854996088,NA,0.2,"QGcomp_Spline",NA,0.0885739398039431,NA,NA,200,"mixed",10
4,886.75854996088,NA,0.3,"QGcomp_Spline",NA,NA,0.346401945372966,NA,200,"mixed",10
4,886.75854996088,NA,0.4,"QGcomp_Spline",NA,NA,NA,0.515356748498424,200,"mixed",10
5,855.514177256081,NA,0.1,"QGcomp_Spline",0.0504442433731977,NA,NA,NA,200,"mixed",10
5,855.514177256081,NA,0.2,"QGcomp_Spline",NA,0.0592389747435995,NA,NA,200,"mixed",10
5,855.514177256081,NA,0.3,"QGcomp_Spline",NA,NA,0.370738530011427,NA,200,"mixed",10
5,855.514177256081,NA,0.4,"QGcomp_Spline",NA,NA,NA,0.519578251871776,200,"mixed",10
