"Iteration","Deviance","SAE","True_Value","Model","Weight_Component1","Weight_Component2","Weight_Component3","Weight_Component4","N_Obs","Corr_Type","SNR_db"
1,761.025745095824,0.0589291865698541,0.1,"QGcomp",0.114084715535049,NA,NA,NA,200,"mixed",10
1,761.025745095824,0.0589291865698541,0.2,"QGcomp",NA,0.170535406715073,NA,NA,200,"mixed",10
1,761.025745095824,0.0589291865698541,0.3,"QGcomp",NA,NA,0.309631544196728,NA,200,"mixed",10
1,761.025745095824,0.0589291865698541,0.4,"QGcomp",NA,NA,NA,0.40574833355315,200,"mixed",10
2,837.86170698618,0.275436349884268,0.1,"QGcomp",0.237718174942134,NA,NA,NA,200,"mixed",10
2,837.86170698618,0.275436349884268,0.2,"QGcomp",NA,0.0886333079098214,NA,NA,200,"mixed",10
2,837.86170698618,0.275436349884268,0.3,"QGcomp",NA,NA,0.293424024829863,NA,200,"mixed",10
2,837.86170698618,0.275436349884268,0.4,"QGcomp",NA,NA,NA,0.380224492318181,200,"mixed",10
3,753.534017715428,0.148485337234054,0.1,"QGcomp",0.025757331382973,NA,NA,NA,200,"mixed",10
3,753.534017715428,0.148485337234054,0.2,"QGcomp",NA,0.20930545569933,NA,NA,200,"mixed",10
3,753.534017715428,0.148485337234054,0.3,"QGcomp",NA,NA,0.336160721048832,NA,200,"mixed",10
3,753.534017715428,0.148485337234054,0.4,"QGcomp",NA,NA,NA,0.428776491868866,200,"mixed",10
4,886.75854996088,0.0948961044656881,0.1,"QGcomp",0.124917361521365,NA,NA,NA,200,"mixed",10
4,886.75854996088,0.0948961044656881,0.2,"QGcomp",NA,0.16145530897062,NA,NA,200,"mixed",10
4,886.75854996088,0.0948961044656881,0.3,"QGcomp",NA,NA,0.322530690711479,NA,200,"mixed",10
4,886.75854996088,0.0948961044656881,0.4,"QGcomp",NA,NA,NA,0.391096638796536,200,"mixed",10
5,855.514177256081,0.121062453365242,0.1,"QGcomp",0.126335184439004,NA,NA,NA,200,"mixed",10
5,855.514177256081,0.121062453365242,0.2,"QGcomp",NA,0.139468773317379,NA,NA,200,"mixed",10
5,855.514177256081,0.121062453365242,0.3,"QGcomp",NA,NA,0.333638021069544,NA,200,"mixed",10
5,855.514177256081,0.121062453365242,0.4,"QGcomp",NA,NA,NA,0.400558021174073,200,"mixed",10
