"Iteration","Deviance","SAE","True_Value","Model","Weight_Component1","Weight_Component2","Weight_Component3","Weight_Component4","N_Obs","Corr_Type","SNR_db"
1,330.425510899107,0.0329217691543918,0.1,"RandomForest",0.105237967037493,NA,NA,NA,200,"mixed",10
1,330.425510899107,0.0329217691543918,0.2,"RandomForest",NA,0.183539115422804,NA,NA,200,"mixed",10
1,330.425510899107,0.0329217691543918,0.3,"RandomForest",NA,NA,0.30563012617354,NA,200,"mixed",10
1,330.425510899107,0.0329217691543918,0.4,"RandomForest",NA,NA,NA,0.405592791366163,200,"mixed",10
2,359.078830274541,0.0851712745383787,0.1,"RandomForest",0.124118555050098,NA,NA,NA,200,"mixed",10
2,359.078830274541,0.0851712745383787,0.2,"RandomForest",NA,0.180242517927483,NA,NA,200,"mixed",10
2,359.078830274541,0.0851712745383787,0.3,"RandomForest",NA,NA,0.318467082219091,NA,200,"mixed",10
2,359.078830274541,0.0851712745383787,0.4,"RandomForest",NA,NA,NA,0.377171844803327,200,"mixed",10
3,338.862668539873,0.0498636738423187,0.1,"RandomForest",0.112369280345552,NA,NA,NA,200,"mixed",10
3,338.862668539873,0.0498636738423187,0.2,"RandomForest",NA,0.177945470940472,NA,NA,200,"mixed",10
3,338.862668539873,0.0498636738423187,0.3,"RandomForest",NA,NA,0.312562556575608,NA,200,"mixed",10
3,338.862668539873,0.0498636738423187,0.4,"RandomForest",NA,NA,NA,0.397122692138369,200,"mixed",10
4,354.085174965356,0.122069622661922,0.1,"RandomForest",0.149464914901321,NA,NA,NA,200,"mixed",10
4,354.085174965356,0.122069622661922,0.2,"RandomForest",NA,0.179600856251871,NA,NA,200,"mixed",10
4,354.085174965356,0.122069622661922,0.3,"RandomForest",NA,NA,0.31156989642964,NA,200,"mixed",10
4,354.085174965356,0.122069622661922,0.4,"RandomForest",NA,NA,NA,0.359364332417167,200,"mixed",10
5,349.634622453366,0.0607176583908844,0.1,"RandomForest",0.112594313798137,NA,NA,NA,200,"mixed",10
5,349.634622453366,0.0607176583908844,0.2,"RandomForest",NA,0.192812374716065,NA,NA,200,"mixed",10
5,349.634622453366,0.0607176583908844,0.3,"RandomForest",NA,NA,0.317764515397306,NA,200,"mixed",10
5,349.634622453366,0.0607176583908844,0.4,"RandomForest",NA,NA,NA,0.376828796088493,200,"mixed",10
