"Iteration","Deviance","SAE","True_Value","Model","Weight_Component1","Weight_Component2","Weight_Component3","Weight_Component4","N_Obs","Corr_Type","SNR_db"
1,469.320898083209,0.0946688359472576,0.1,"gWQS",0.135080466268218,NA,NA,NA,200,"mixed",10
1,469.320898083209,0.0946688359472576,0.2,"gWQS",NA,0.152665582026371,NA,NA,200,"mixed",10
1,469.320898083209,0.0946688359472576,0.3,"gWQS",NA,NA,0.310393115775228,NA,200,"mixed",10
1,469.320898083209,0.0946688359472576,0.4,"gWQS",NA,NA,NA,0.401860835930183,200,"mixed",10
2,514.609478728097,0.26418191354683,0.1,"gWQS",0.232090956773415,NA,NA,NA,200,"mixed",10
2,514.609478728097,0.26418191354683,0.2,"gWQS",NA,0.101810938886638,NA,NA,200,"mixed",10
2,514.609478728097,0.26418191354683,0.3,"gWQS",NA,NA,0.289298655474568,NA,200,"mixed",10
2,514.609478728097,0.26418191354683,0.4,"gWQS",NA,NA,NA,0.376799448865379,200,"mixed",10
3,463.810812084729,0.107190906791887,0.1,"gWQS",0.0633539373631533,NA,NA,NA,200,"mixed",10
3,463.810812084729,0.107190906791887,0.2,"gWQS",NA,0.183050609240903,NA,NA,200,"mixed",10
3,463.810812084729,0.107190906791887,0.3,"gWQS",NA,NA,0.332101878797563,NA,200,"mixed",10
3,463.810812084729,0.107190906791887,0.4,"gWQS",NA,NA,NA,0.421493574598381,200,"mixed",10
4,533.362285469985,0.106266124255831,0.1,"gWQS",0.126333619259494,NA,NA,NA,200,"mixed",10
4,533.362285469985,0.106266124255831,0.2,"gWQS",NA,0.156478560062711,NA,NA,200,"mixed",10
4,533.362285469985,0.106266124255831,0.3,"gWQS",NA,NA,0.326799442868421,NA,200,"mixed",10
4,533.362285469985,0.106266124255831,0.4,"gWQS",NA,NA,NA,0.390388377809373,200,"mixed",10
5,528.123688553753,0.133424309225121,0.1,"gWQS",0.133327515702843,NA,NA,NA,200,"mixed",10
5,528.123688553753,0.133424309225121,0.2,"gWQS",NA,0.141013112893136,NA,NA,200,"mixed",10
5,528.123688553753,0.133424309225121,0.3,"gWQS",NA,NA,0.333384638909717,NA,200,"mixed",10
5,528.123688553753,0.133424309225121,0.4,"gWQS",NA,NA,NA,0.392274732494303,200,"mixed",10
